"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="1667208938327314083",="1667208938323314083","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022091022001164771404470821","0.00","0.00","没有申请退款","无退款申请","2022-09-10 08:43:28","2022-09-10 08:43:34"
="1667208938328314083",="1667208938323314083","【赠品专用】SUREBASE烁贝思粉扑2件装","20.00","1","null","null","null","null","交易成功","null",="2022091022001164771404470821","0.00","0.00","没有申请退款","无退款申请","2022-09-10 08:43:28","2022-09-10 08:43:34"
="1666497720585857780",="1666497720584857780","【99价】SUREBASE烁贝思韩国焕彩保湿水光妆容气垫替换装13ml","139.00","1","null","颜色分类：N2 BRIGHT BONNIE (替换装);净含量：13ml","null","null","交易成功","null",="2022091022001114011449134562","88.81","88.81","没有申请退款","无退款申请","2022-09-10 08:42:08","2022-09-10 08:42:18"
="1666497720586857780",="1666497720584857780","【99价】SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装)","259.00","1","null","颜色分类：N2 BRIGHT BONNIE;净含量：13ml","null","null","交易成功","null",="2022091022001114011449134562","178.39","178.39","没有申请退款","无退款申请","2022-09-10 08:42:08","2022-09-10 08:42:18"
="1666497720587857780",="1666497720584857780","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易成功","null",="2022091022001114011449134562","0.00","0.00","没有申请退款","无退款申请","2022-09-10 08:42:08","2022-09-10 08:42:18"
="1666497720588857780",="1666497720584857780","【赠品专用】SUREBASE烁贝思纯锌物理防晒隔离小样10ml","25.00","1","8809754820887","null","null","null","交易成功","8809754820887",="2022091022001114011449134562","0.00","0.00","没有申请退款","无退款申请","2022-09-10 08:42:08","2022-09-10 08:42:18"
="1666497720589857780",="1666497720584857780","【赠品专用】SUREBASE烁贝思粉扑2件装","20.00","1","null","null","null","null","交易成功","null",="2022091022001114011449134562","0.00","0.00","没有申请退款","无退款申请","2022-09-10 08:42:08","2022-09-10 08:42:18"
="2878707241832381640",="2878707241831381640","【99价】SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml","169.00","1","8809525248018","净含量：50ml","null","null","交易关闭","8809525248018",="2022091022001104381436843527","115.55","115.55","退款成功","115.55","2022-09-10 07:58:47","2022-09-10 07:58:52"
="2878707241833381640",="2878707241831381640","【赠品专用】SERUMKIND精华液小样1ml*3","25.00","2","null","null","null","null","交易关闭","null",="2022091022001104381436843527","0.00","0.00","退款成功","0.00","2022-09-10 07:58:47","2022-09-10 07:58:52"
="1666470684427100498",="1666470684426100498","【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g","139.00","1","null","null","null","null","交易成功","null",="2022091022001168941411389652","104.00","104.00","没有申请退款","无退款申请","2022-09-10 07:40:08","2022-09-10 07:40:14"
